"domain","collect","tags_str"
"10.tor.exit.babylon.network","1598745600","['malware']"
"100-weightloss.398-beauty.com-jgf.net","1598745600","['malware']"
"1000-diamonds.000webhostapp.com","1598745600","['phishing']"
"1000paydayloanhere.com","1598745600","['spam']"
"1000pills.it.pn","1598745600","['spam']"
"1000tlbasvuru-destek.com","1598745600","['generic']"
"1001-a.ro","1598745600","['spam']"
"1001opticiens.net","1598745600","['spam']"
"10076.searchmagnified.com","1598745600","['spam']"
"1009loiyza.7host.cn","1598745600","['spam']"
"100bandklan.com","1598745600","['spam']"
"100diabetsprotocol.us","1598745600","['spam']"
"100highbloodpressure.us","1598745600","['spam']"
"100pills.cf","1598745600","['spam']"
"100pills.it.pn","1598745600","['spam']"
"100tab.ga","1598745600","['spam']"
"100tipsadayh3alth.com","1598745600","['spam']"
"101.ip-51-91-157.eu","1598745600","['malware']"
"101gowrie.com","1598745600","['c2']"
"102notparkinsondises.us","1598745600","['spam']"
"103.ip-192-99-56.net","1598745600","['malware']"
"10573.url.9xiazaiqi.com","1598745600","['malware']"
"106-diet.357-beauty.com-7zb.net","1598745600","['malware']"
"10august2016ppe.ro.im","1598745600","['spam']"
"10brasil.net.br","1598745600","['spam']"
"10hightiniitushearing.us","1598745600","['spam']"
"10k90days.com","1598745600","['malware']"
"10may20thirteen.co.za","1598745600","['spam']"
"10sonuscompletebasicmind.us","1598745600","['spam']"
"10widiaq.com","1598745600","['spam']"
"10years.tokyo","1598745600","['spam']"
"11.pltraffic2.com","1598745600","['spam']"
"11.shuijunnb.com","1598745600","['spam']"
"111.bbexe.cn","1598745600","['malware']"
"111.ip-149-56-13.net","1598745600","['malware']"
"111.ip-51-83-44.eu","1598745600","['malware']"
"111222vi.com","1598745600","['malware']"
"11135.site","1598745600","['spam']"
"11195.site","1598745600","['spam']"
"111scg.com","1598745600","['spam']"
"111v222.com","1598745600","['malware']"
"112244gg.duckdns.org","1598745600","['malware']"
"11264.cc","1598745600","['malware']"
"114.fm","1598745600","['spam']"
"114.ip-51-91-157.eu","1598745600","['malware']"
"114tm.cc","1598745600","['malware']"
"1151.co","1598745600","['spam']"
"11515151.tk","1598745600","['spam']"
"11776.BODIS.com","1598745600","['malware']"
"11eleven.us","1598745600","['spam']"
"11gmail.com","1598745600","['spam']"
"11staeskaisd.world","1598745600","['spam']"
"11w.email","1598745600","['spam']"
"12.red-2-136-198.staticip.rima-tde.net","1598745600","['malware']"
"120-beauty.189-beauty.com-7zb.net","1598745600","['malware']"
"12065.bodis.com","1598745600","['malware']"
"121-beauty.com-cw7.net","1598745600","['malware']"
"12128.url.tudown.com","1598745600","['malware']"
"123-solutions.fr","1598745600","['spam']"
"123.bbexe.cn","1598745600","['malware']"
"123.ip-54-37-226.eu","1598745600","['malware']"
"123.tyl123.cn","1598745600","['malware']"
"123411.vip","1598745600","['spam']"
"123459.vip","1598745600","['spam']"
"123aziende.com","1598745600","['spam']"
"123boot.pro","1598745600","['ddos']"
"123extenze.com","1598745600","['spam']"
"123meratol.com","1598745600","['spam']"
"123pills.de.pn","1598745600","['spam']"
"123postit.com","1598745600","['spam']"
"123semenax.com","1598745600","['spam']"
"123vigorelle.com","1598745600","['spam']"
"123vrachi.ru","1598745600","['c2']"
"123xyzn.top","1598745600","['spam']"
"125-227-236-60.hinet-ip.hinet.net","1598745600","['malware']"
"1255668gnnb.cz.cc","1598745600","['malware']"
"125ervquroais.com.br","1598745600","['spam']"
"126.ip-137-74-198.eu","1598745600","['malware']"
"128138.cc","1598745600","['malware']"
"12all.com.br","1598745600","['spam']"
"12freshnews.in","1598745600","['spam']"
"12p.pl","1598745600","['malware']"
"12qo7vfh5n34j.com","1598745600","['spam']"
"12seviqem.com.br","1598745600","['spam']"
"12starhd.online","1598745600","['c2']"
"12xizjm3ejmoiod1bwgl.home.lc","1598745600","['malware']"
"13264.url.9xiazaiqi.com","1598745600","['malware']"
"1337cvv.xyz","1598745600","['spam']"
"1337x.net","1598745600","['malware']"
"134962.parkingcrew.net","1598745600","['malware']"
"137-health.com-jgf.net","1598745600","['malware']"
"138-fitness.com-zgx.net","1598745600","['malware']"
"138638.com","1598745600","['spam']"
"138bds.com","1598745600","['spam']"
"13americandisability.us","1598745600","['spam']"
"13dzersnma6d03xm91.world","1598745600","['spam']"
"13l2fdqgeo.net","1598745600","['spam']"
"13rgb14t2b.trade","1598745600","['spam']"
"14.bbexe.cn","1598745600","['malware']"
"1406safekey.com","1598745600","['spam']"
"142.ip-51-75-66.eu","1598745600","['malware']"
"145-beauty.688-weightloss.com-brp.net","1598745600","['malware']"
"14614.url.7wkw.com","1598745600","['malware']"
"14614.url.9xiazaiqi.com","1598745600","['malware']"
"1473739478426038655.somanyontion.co","1598745600","['malware']"
"14dasyssoupsjhsk.us","1598745600","['spam']"
"15.bbexe.cn","1598745600","['malware']"
"15.vaoidsjiauuisja.cc","1598745600","['malware']"
"15.vnaiutoagjkaewe.cc","1598745600","['malware']"
"150mantoppa119.net","1598745600","['spam']"
"15150.com","1598745600","['malware']"
"15462014.we.bs","1598745600","['spam']"
"15balganagadhar.us","1598745600","['spam']"
"15gmail.com","1598745600","['spam']"
"15hea312e.net","1598745600","['spam']"
"15housinglistsj.us","1598745600","['spam']"
"15minutemianfestationsg.us","1598745600","['spam']"
"160.ip-213-32-67.eu","1598745600","['malware']"
"1606-stresser.net","1598745600","['ddos']"
"160820fr.com","1598745600","['spam']"
"16145.url.tudown.com","1598745600","['malware']"
"16149.url.tudown.com","1598745600","['malware']"
"16171.url.9xiazaiqi.com","1598745600","['malware']"
"162-health.com-za67.net","1598745600","['malware']"
"163-172-29-81.rev.poneytelecom.eu","1598745600","['malware']"
"163-172-29-9.rev.poneytelecom.eu","1598745600","['malware']"
"163.red-83-38-229.dynamicip.rima-tde.net","1598745600","['malware']"
"16310.url.9xiazaiqi.com","1598745600","['malware']"
"16318.url.9xiazaiqi.com","1598745600","['malware']"
"16341.url.9xiazaiqi.com","1598745600","['malware']"
"16355.url.9xiazaiqi.com","1598745600","['malware']"
"16412.url.9xiazaiqi.com","1598745600","['malware']"
"16449.url.9xiazaiqi.com","1598745600","['malware']"
"16456.url.9xiazaiqi.com","1598745600","['malware']"
"16457.url.9xiazaiqi.com","1598745600","['malware']"
"16462.url.7wkw.com","1598745600","['malware']"
"165-beauty.com-klc.net","1598745600","['malware']"
"16509.url.9xiazaiqi.com","1598745600","['malware']"
"16549.url.9xiazaiqi.com","1598745600","['malware']"
"16554.url.9xiazaiqi.com","1598745600","['malware']"
"16gmail.com","1598745600","['spam']"
"170-weightloss.com-aly.net","1598745600","['malware']"
"170115.we.bs","1598745600","['spam']"
"171-health.com-eko.net","1598745600","['malware']"
"171f60d4-7aed-11e9-9a7c-d89d6723160c.antifraudsolutions.info","1598745600","['malware']"
"174medicines.de.vu","1598745600","['spam']"
"176-weightloss.com-xvq.net","1598745600","['malware']"
"17655.url.789msw.com","1598745600","['malware']"
"178-17-170-105.static.as43289.net","1598745600","['malware']"
"178-17-170-112.static.as43289.net","1598745600","['malware']"
"178-17-170-135.ip.as43289.net","1598745600","['malware']"
"178-17-170-135.static.as43289.net","1598745600","['malware']"
"178-17-170-149.ip.as43289.net","1598745600","['malware']"
"178-17-170-149.static.as43289.net","1598745600","['malware']"
"178-17-170-195.ip.as43289.net","1598745600","['malware']"
"178-17-170-195.static.as43289.net","1598745600","['malware']"
"178-17-170-23.static.as43289.net","1598745600","['malware']"
"178-17-170-91.static.as43289.net","1598745600","['malware']"
"178-17-171-197.static.as43289.net","1598745600","['malware']"
"178-17-171-78.static.as43289.net","1598745600","['malware']"
"178-17-174-196.static.as43289.net","1598745600","['malware']"
"178-17-174-198.ip.as43289.net","1598745600","['malware']"
"178-17-174-198.static.as43289.net","1598745600","['malware']"
"178-17-174-68.static.as43289.net","1598745600","['malware']"
"178-175-148-224.static.as43289.net","1598745600","['malware']"
"178-175-148-44.static.as43289.net","1598745600","['malware']"
"17936.url.246546.com","1598745600","['malware']"
"17adouiousherps.us","1598745600","['spam']"
"17gmail.com","1598745600","['spam']"
"17jop.com","1598745600","['spam']"
"18022020.com","1598745600","['spam']"
"180chan.co","1598745600","['malware']"
"181-diet.com-aly.net","1598745600","['malware']"
"181-weightloss.965-health.com-d6m.net","1598745600","['malware']"
"1816soso.com","1598745600","['spam']"
"1830488.synergyglobal.one","1598745600","['malware']"
"185-35-138-22.v4.as62454.net","1598745600","['malware']"
"185188.com","1598745600","['spam']"
"185xn.com","1598745600","['spam']"
"1888nyrents.com","1598745600","['spam']"
"188gm.top","1598745600","['malware']"
"18eyejuly.bid","1598745600","['spam']"
"18gmail.com","1598745600","['spam']"
"18gupiao.com","1598745600","['spam']"
"18headjuly.bid","1598745600","['spam']"
